year_month,date,code,close,peTTM,turn,tradestatus,pctChg,PE_inv,market_cap,roe,div_ratio,profit_growth,Quality,return,excess_return,next_excess_return,mkt_excess,SMB,year_month_str
2017-04,2017-04-28,sh.603993,4.4,51.096994,0.404585,1,0.456621,0.0195706228824341,919256356820.661,0.1220247248081669,0.0377654850985286,0.3015846068022477,0.0013897992577745,-0.0658174097664542,-0.0673174097664542,-0.0446818181818183,-0.0225568518864464,919256356820.661,2017-04
2017-05,2017-05-31,sh.603993,4.21,48.890533,0.306603,1,-0.472813,0.0204538576006115,909809296668.3276,0.0962486499801599,0.0895970903347429,0.1839512859073742,0.0015863221227841,-0.0431818181818183,-0.0446818181818183,0.2004002375296912,-0.0133811611274501,909809296668.3276,2017-05
2017-06,2017-06-30,sh.603993,5.06,58.761543,1.024091,1,1.810868,0.017017932970208,886663352535.0573,0.1546479555448334,0.0073655162280068,0.4248113102319962,0.0004838864317827,0.2019002375296912,0.2004002375296912,0.4273537549407116,0.0226401113892472,886663352535.0573,2017-06
2017-07,2017-07-31,sh.603993,7.23,107.389505,3.377687,1,3.138371,0.0093118969120865,920139678729.992,0.1485231318453333,0.0130992297656744,-0.0515021711266491,-0.000100199463433,0.4288537549407116,0.4273537549407116,0.03999377593361,0.0237478835844589,920139678729.992,2017-07
2017-08,2017-08-31,sh.603993,7.53,123.095139,3.776927,1,8.815031,0.0081237976424073,931871874531.1971,0.1206686014565198,0.00238857965106,0.4184919778813419,0.0001206205056669,0.04149377593361,0.03999377593361,0.0396686586985391,0.0253198133349302,931871874531.1971,2017-08
2017-09,2017-09-29,sh.603993,7.84,128.162801,1.08032,1,1.030927,0.0078025760376444,830723599536.3419,0.1027305891455035,0.0253480152312902,0.3841992986408533,0.0010004613276946,0.0411686586985391,0.0396686586985391,-0.0869591836734693,-0.0050309940163233,830723599536.3419,2017-09
2017-10,2017-10-31,sh.603993,7.17,76.701591,1.22346,1,4.51895,0.0130375392082805,885707459687.9485,0.1328660547559769,0.0349103688665472,-0.092057822846076,-0.000427001279948,-0.0854591836734693,-0.0869591836734693,-0.0154470013947,0.0117573173087746,885707459687.9485,2017-10
2017-11,2017-11-30,sh.603993,7.07,75.631834,1.746463,1,0.855919,0.0132219456690683,898624214731.8026,0.1157133710900591,0.0206935496331784,0.2761330819775346,0.0006612062945618,-0.0139470013947,-0.0154470013947,-0.0283741159830269,-0.0239418942864863,898624214731.8026,2017-11
2017-12,2017-12-29,sh.603993,6.88,73.599295,1.07571,1,-1.854495,0.0135870866697839,921885870690.2904,0.1530400035902974,0.0192054640369645,0.1413920135526821,0.0004155800121229,-0.0268741159830269,-0.0283741159830269,0.0973372093023255,-0.0045194248863797,921885870690.2904,2017-12
2018-01,2018-01-31,sh.603993,7.56,80.873644,1.417832,1,1.476512,0.0123649677514222,964536404724.8352,0.1449780688369153,0.0328480973325626,0.0286835961761872,0.0001365985624852,0.0988372093023255,0.0973372093023255,0.1334206349206348,0.0510104228023216,964536404724.8352,2018-01
2018-02,2018-02-28,sh.603993,8.58,91.785168,2.971948,1,4.252739,0.0108950064786066,875104224093.1232,0.0490873049291135,0.019957843503406,-0.2277238379435439,-0.0002230957494037,0.1349206349206348,0.1334206349206348,-0.0131550116550115,-0.0651126467428918,875104224093.1232,2018-02
2018-03,2018-03-30,sh.603993,8.48,67.146351,1.221805,1,-0.235299,0.0148928420548124,887564277229.5548,0.0457018414629146,0.0362035165436567,-0.0521627342234633,-8.630675815755775e-05,-0.0116550116550115,-0.0131550116550115,-0.1076320754716981,-0.0292694599755538,887564277229.5548,2018-03
2018-04,2018-04-27,sh.603993,7.58,60.01997,0.504353,1,0.132097,0.0166611212901306,886901073685.8466,0.0649375227797962,0.052284686934852,0.2916224280369178,0.0009901275635737,-0.1061320754716981,-0.1076320754716981,-0.0635052770448548,-0.0288486412933715,886901073685.8466,2018-04
2018-05,2018-05-31,sh.603993,7.11,41.724587,0.593148,1,1.426532,0.0239666841998939,873748587432.6427,0.148806934503346,0.0435406093960161,0.3127682538521114,0.0020264707463216,-0.0620052770448548,-0.0635052770448548,-0.1168305203938115,0.0027962386660829,873748587432.6427,2018-05
2018-06,2018-06-29,sh.603993,6.29,36.912469,0.650705,1,3.284069,0.0270911165546796,894426268525.5138,0.0211845501614377,0.047620266943304,0.1078579038847656,0.0001088085563052,-0.1153305203938115,-0.1168305203938115,-0.0698624801271859,-0.0816347645416387,894426268525.5138,2018-06
